State Code,Year,Total Deaths,No. Injured,Total Damage ('000 US$),Total Disasters,Disaster Types
KY,1990,34.0,0.0,0.0,,
LA,1990,0.0,0.0,0.0,,
MA,1990,0.0,186.0,0.0,,
MD,1990,0.0,0.0,0.0,,
MI,1990,19.0,0.0,0.0,,
MO,1990,15.0,0.0,135000.0,10.0,{'Flood': 10}
MS,1990,0.0,0.0,0.0,35.0,{'Severe Storm': 35}
MT,1990,3.0,0.0,45000.0,,
NE,1990,15.0,0.0,100000.0,23.0,{'Severe Storm': 23}
NJ,1990,0.0,0.0,0.0,,
NY,1990,98.0,100.0,0.0,,
OH,1990,66.0,0.0,40000.0,25.0,{'Severe Storm': 25}
OK,1990,28.0,0.0,600000.0,39.0,{'Severe Storm': 39}
OR,1990,3.0,0.0,45000.0,3.0,"{'Flood': 2, 'Fire': 1}"
TN,1990,39.0,50.0,0.0,3.0,{'Flood': 3}
TX,1990,34.0,0.0,720000.0,74.0,"{'Freezing': 10, 'Severe Storm': 64}"
WA,1990,3.0,0.0,85000.0,26.0,{'Flood': 26}
WY,1990,3.0,0.0,45000.0,,
AL,1991,33.0,0.0,1000000.0,12.0,{'Flood': 12}
AR,1991,33.0,0.0,1000000.0,21.0,{'Flood': 21}
AZ,1991,0.0,0.0,0.0,,
CA,1991,43.0,200.0,1033500.0,34.0,"{'Freezing': 33, 'Fire': 1}"
CO,1991,27.0,0.0,0.0,,
CT,1991,20.0,0.0,1500000.0,6.0,{'Hurricane': 6}
DE,1991,18.0,0.0,1500000.0,,
FL,1991,9.0,0.0,0.0,,
GA,1991,293.0,1500.0,1700000.0,15.0,{'Flood': 15}
GU,1991,11.0,6.0,0.0,1.0,{'Typhoon': 1}
IA,1991,33.0,0.0,1000000.0,60.0,"{'Flood': 16, 'Severe Ice Storm': 44}"
ID,1991,2.0,0.0,0.0,,
IL,1991,0.0,0.0,30000.0,,
IN,1991,18.0,0.0,1530000.0,99.0,"{'Flood': 73, 'Severe Ice Storm': 26}"
KS,1991,33.0,0.0,1030000.0,6.0,{'Tornado': 6}
KY,1991,18.0,0.0,1500000.0,19.0,{'Flood': 19}
MA,1991,20.0,0.0,1500000.0,18.0,"{'Hurricane': 11, 'Coastal Storm': 7}"
MD,1991,0.0,0.0,335000.0,,
ME,1991,18.0,0.0,1500000.0,15.0,"{'Snowstorm': 1, 'Hurricane': 9, 'Coastal Storm': 5}"
MI,1991,18.0,0.0,1500000.0,,
MN,1991,0.0,0.0,0.0,12.0,{'Severe Ice Storm': 12}
MO,1991,33.0,0.0,1000000.0,,
MS,1991,33.0,0.0,1000000.0,72.0,"{'Severe Storm': 54, 'Flood': 18}"
MT,1991,2.0,0.0,0.0,,
NC,1991,43.0,41.0,1514500.0,,
NE,1991,33.0,0.0,1000000.0,7.0,{'Flood': 7}
NJ,1991,4.0,0.0,0.0,,
NV,1991,0.0,0.0,0.0,,
NY,1991,27.0,150.0,1500000.0,14.0,"{'Snowstorm': 13, 'Hurricane': 1}"
OH,1991,18.0,0.0,1500000.0,,
OK,1991,33.0,0.0,1000000.0,6.0,{'Tornado': 6}
OR,1991,0.0,0.0,0.0,,
PA,1991,0.0,0.0,335000.0,,
RI,1991,20.0,0.0,1500000.0,5.0,{'Hurricane': 5}
SC,1991,0.0,0.0,0.0,,
SD,1991,0.0,0.0,0.0,,
TN,1991,0.0,0.0,0.0,31.0,{'Flood': 31}
TX,1991,87.0,0.0,1880000.0,70.0,"{'Severe Storm': 5, 'Flood': 65}"
VA,1991,0.0,0.0,0.0,,
WA,1991,2.0,0.0,0.0,17.0,"{'Flood': 10, 'Fire': 7}"
WI,1991,0.0,0.0,0.0,5.0,{'Severe Storm': 5}
WV,1991,0.0,0.0,0.0,,
WY,1991,2.0,0.0,0.0,,
AK,1992,0.0,0.0,0.0,,
AL,1992,0.0,0.0,0.0,,
AR,1992,27.0,0.0,0.0,5.0,{'Severe Storm': 5}
AZ,1992,0.0,0.0,0.0,,
CA,1992,25.0,426.0,450000.0,11.0,"{'Flood': 5, 'Fire': 3, 'Earthquake': 3}"
CO,1992,0.0,0.0,0.0,,
